,Comment,Forum,Segments,NoStopPunct
7023,"賣醫療用品支持幾萬億年度開支?整口罩還幾萬億外債?
唔好講支那就算2020年一年賣醫用品賣唔到200億美金，
退貨果d問題測試盒、問題試劑同劣質口罩，你覺得唔洗還錢俾人?",1,"賣 醫療 用品 支持 幾萬 億年 度 開支 ? 整 口罩 還 幾萬 億 外債 ? 
 唔好 講 支那 就算 2020 年 一年 賣 醫用 品賣 唔 到 200 億美金 ， 
 退貨 果 d 問題 測試 盒 、 問題 試劑 同 劣質 口罩 ， 你 覺得 唔 洗 還錢 俾 人 ?",賣 醫療 用品 支持 幾萬 億年 度 開支 整 口罩 還 幾萬 億 外債 唔好 支那 就算 2020 年 一年 賣 醫用 品賣 200 億美金 退貨 果 d 問題 測試 盒 問題 試劑 劣質 口罩 洗 還錢 俾 人
7024,"中國武漢肺炎
五毛 拉",1,"中國 武漢 肺炎 
 五毛   拉",中國 武漢 肺炎 五毛 拉
7025,學中共維穩得唔得吖,1,學 中共 維穩 得 唔 得 吖,學 中共 維穩
7026,政府可以做咩，封美國同封南韓係兩種概念，美國人有槍,1,政府 可以 做 咩 ， 封 美國 同封 南韓 係 兩種 概念 ， 美國人 有槍,政府 做 封 美國 同封 南韓 兩種 概念 美國人 有槍
7027,"樓主好客觀，一向眾人皆醉佢獨醒
上次就話病毒真係來自美國實驗室",1,"樓主 好 客觀 ， 一向 眾人 皆 醉 佢 獨 醒 
 上次 就 話 病毒 真係 來自 美國 實驗室",樓主 客觀 一向 眾人 皆 醉 獨 醒 上次 病毒 來自 美國 實驗室
7028,"無tester ,可以驗到50萬宗
嚇呆700億人的故事",1,"無 test er   , 可以 驗到 50 萬宗 
 嚇呆 700 億人 的 故事",test er 驗到 50 萬宗 嚇呆 700 億人 故事
7029,根本全部責任都係來源於支那，追究一個受害者有咩意思，美國根本冇途徑得到足夠資料,1,根本 全部 責任 都 係 來源於 支那 ， 追究 一個 受害者 有 咩 意思 ， 美國 根本 冇 途徑 得到 足夠 資料,根本 全部 責任 來源於 支那 追究 一個 受害者 意思 美國 根本 途徑 得到 足夠 資料
7030,太明顯了。。。好肉酸。。。。,1,太 明顯 了 。 。 。 好 肉酸 。 。 。 。,明顯 了 肉酸
7031,人哋係肯驗肯醫先有咁多 咁先係解決問題,1,人哋 係 肯驗肯 醫先 有 咁 多   咁 先 係 解決問題,肯驗肯 醫先 先 解決問題
7032,"咁你繼續堅持呢個諗法啦
反正美國幾柒 全世界都有眼睇",1,"咁 你 繼續 堅持 呢個 諗法 啦 
 反正 美國 幾柒   全世界 都 有 眼 睇",繼續 堅持 諗法 啦 反正 美國 幾柒 全世界 眼
7033,【好消息！ 武漢一新冠肺炎感染者出院】今日，武漢市肺科醫院收治的患者經治療可出院，出院前和照顧她醫護人員合影。,1,【 好消息 ！   武漢 一新 冠 肺炎 感染者 出院 】 今日 ， 武漢市 肺科 醫院 收治 的 患者 經 治療 可 出院 ， 出院 前 和 照顧 她 醫護人員 合影 。,好消息 武漢 一新 冠 肺炎 感染者 出院 今日 武漢市 肺科 醫院 收治 患者 經 治療 可 出院 出院 前 照顧 醫護人員 合影
7034,"好消息
又贏",1,"好消息 
 又贏",好消息 又贏
7035,因為無得救，所以趕佢出院,1,因為 無 得救 ， 所以 趕 佢 出院,得救 趕 出院
7036,多謝黨,1,多謝 黨,多謝 黨
7037,依家出院出去中多次,1,依家 出院 出去 中 多次,依家 出院 出去 中 多次
7038,出去辦理身後事，死都唔好死係醫院，如果唔係數字又+1,1,出去 辦理 身後事 ， 死 都 唔好 死 係 醫院 ， 如果 唔係 數字 又 + 1,出去 辦理 身後事 死 唔好 死 醫院 數字 1
7039,出完院又要再排過,1,出 完院 又 要 再 排過,出 完院 排過
7040,咁未院既人呢,1,咁 未院 既 人 呢,未院 人
7041,支式演出,1,支式 演出,支式 演出
7042,藍絲可以唔洗戴口罩喇！,1,藍絲 可以 唔 洗 戴 口罩 喇 ！,藍絲 洗 戴 口罩 喇
7043,中國抗疫成功！！,1,中國 抗疫 成功 ！ ！,中國 抗疫 成功
7044,咁撚開心 解封好冇,1,咁 撚 開心   解 封好 冇,撚 開心 解 封好
7045,死左 ? 唔開眼喎,1,死 左   ?   唔 開眼 喎,死 左 開眼
7046,好返有無抗體？,1,好返 有無 抗體 ？,好返 抗體
7047,迴光反照,1,迴 光 反照,迴 光 反照
7048,根本大把人出院直入火葬場,1,根本 大把 人 出院 直入 火葬場,根本 大把 人 出院 直入 火葬場
7049,"繼續吹.jpg
就算真係好得番 一出院即刻又俾人傳染啦",1,"繼續 吹 . jpg 
 就算 真係 好 得 番   一出 院 即刻 又 俾 人 傳染 啦",繼續 吹 jpg 就算 番 一出 院 即刻 俾 人 傳染 啦
7050,好返出院 但身邊d 人著哂保護衣,1,好返 出院   但 身邊 d   人著 哂 保護 衣,好返 出院 但 身邊 d 人著 哂 保護 衣
7051,除gear攬下先講啦,1,除 gear 攬 下 先講 啦,除 gear 攬 下 先講 啦
7052,"其實係會好返，只要抵抗力夠好，及早發現
SARS 年青人用自然療法康復率都好高，仲要無後遺症
但問題係根本無床位，無藥物減輕症狀未頂到抵抗力殺毒已經死L左，仲要無隔離病房傳到周圍都係",1,"其實 係 會 好 返 ， 只要 抵抗力 夠好 ， 及早 發現 
 SARS   年青人 用 自然療法 康復 率 都 好 高 ， 仲要 無 後遺症 
 但 問題 係 根本 無 床位 ， 無 藥物 減輕 症狀 未頂 到 抵抗力 殺毒 已經 死 L 左 ， 仲要 無 隔離病房 傳到 周圍 都 係",其實 只要 抵抗力 夠好 及早 發現 SARS 年青人 用 自然療法 康復 率 高 仲要 後遺症 但 問題 根本 床位 藥物 減輕 症狀 未頂 抵抗力 殺毒 死 L 左 仲要 隔離病房 傳到 周圍
7053,"本身唔係100% 死亡率
實有人冇事出院架
有人中招但連醫院都唔駛去 都可以好返tim",1,"本身 唔係 100%   死亡率 
 實有 人 冇事 出院 架 
 有人 中招 但連 醫院 都 唔 駛去   都 可以 好返 tim",本身 100% 死亡率 實有 人 冇事 出院 架 有人 中招 但連 醫院 駛去 好返 tim
7054,"屌你老母
做假都做好d
叫醫護除衫除口罩 欖欖啦
出院不代表醫好",1,"屌 你 老母 
 做 假 都 做好 d 
 叫 醫護 除衫 除 口罩   欖 欖 啦 
 出院 不 代表 醫好",屌 老母 做 假 做好 d 叫 醫護 除衫 除 口罩 欖 欖 啦 出院 代表 醫好
7055,出院去火化,1,出院 去 火化,出院 火化
7056,又白事當紅事,1,又 白事 當紅 事,白事 當紅 事
7057,好返 但醫護Full Gear 合照,1,好返   但 醫護 Full   Gear   合照,好返 但 醫護 Full Gear 合照
7058,"出院姐
幾時話好返？",1,"出院 姐 
 幾時 話 好 返 ？",出院 姐 幾時
7059,白事當紅事做,1,白事 當紅 事 做,白事 當紅 事 做
7060,"眼都開唔到喎 係咪撐起咗條屍體嚟影相
定係影完張相呢個就可以人道毀滅",1,"眼都開 唔 到 喎   係咪 撐起 咗 條 屍體 嚟 影相 
 定係 影完 張相 呢個 就 可以 人道 毀滅",眼都開 係咪 撐起 條 屍體 嚟 影相 定係 影完 張相 人道 毀滅
7061,神助攻,1,神助 攻,神助 攻
7062,"咪撚係
成班著撚到太空人咁
你同我講佢無事康復？",1,"咪 撚 係 
 成班著 撚 到 太空 人 咁 
 你 同 我 講 佢 無事 康復 ？",撚 成班著 撚 太空 人 無事 康復
7063,我都咁諗 成件事好假 好似森林大火用水槍唧兩下話救左棵草咁,1,我 都 咁 諗   成件 事 好 假   好似 森林 大火 用 水槍 唧 兩下 話 救 左棵 草 咁,成件 事 假 好似 森林 大火 用 水槍 唧 兩下 救 左棵 草
7064,"全篇無講過已康復
純粹比隻生化武器出院",1,"全篇 無講過 已 康復 
 純粹 比 隻 生化武器 出院",全篇 無講過 已 康復 純粹 比 隻 生化武器 出院
7065,似遺照多d,1,似 遺照 多 d,似 遺照 d
7066,"一個咁大把
死左果d 呢",1,"一個 咁 大把 
 死 左果 d   呢",一個 大把 死 左果 d
7067,"病毒好返通常有免疫
如果佢再中即係",1,"病毒 好返 通常 有 免疫 
 如果 佢 再 中 即係",病毒 好返 通常 免疫 中
7068,又想俾自己啲支那人民圍屌？,1,又 想 俾 自己 啲 支那 人民 圍 屌 ？,俾 支那 人民 圍 屌
7069,出院入院出院入院 無限loop,1,出院 入院 出院 入院   無限 loop,出院 入院 出院 入院 無限 loop
7070,人民日報 Facebook?,1,人民日報   Face book ?,人民日報 Face book
7071,個大媽隻眼都睜唔開,1,個 大媽 隻 眼都睜 唔 開,大媽 隻 眼都睜 開
7072,好番就唔好戴口罩啦,1,好番 就 唔好 戴 口罩 啦,好番 唔好 戴 口罩 啦
7073,如果幅圖係GIF 應該可以睇到班醫護腳仔震震,1,如果 幅圖 係 GIF   應該 可以 睇 到 班 醫護 腳仔 震震,幅圖 GIF 班 醫護 腳仔 震震
7074,遺照,1,遺照,遺照
7075,"睇個幾隻太空人
康復",1,"睇 個 幾隻 太空 人 
 康復",幾隻 太空 人 康復
7076,死左咪出院囉,1,死 左 咪 出院 囉,死 左 出院 囉
7077,睇班醫護驚到,1,睇 班 醫護 驚到,班 醫護 驚到
7078,"好番合照都仲要 full gear ?
個女人會有抗體 , 但隨時變成超級傳播者",1,"好番 合照 都 仲要   full   gear   ? 
 個 女人 會 有 抗體   ,   但 隨時 變成 超級 傳播者",好番 合照 仲要 full gear 女人 抗體 但 隨時 變成 超級 傳播者
7079,中国又贏,1,中国 又贏,中国 又贏
7080,戲精,1,戲精,戲精
7081,成萬人染病得一個出院？,1,成萬人 染病 得 一個 出院 ？,成萬人 染病 一個 出院
7082,俾佢出去做超級感染者,1,俾 佢 出去 做 超級 感染者,俾 出去 做 超級 感染者
7083,如果真係要做假 搵個呀毛得啦 駛咩真正患者,1,如果 真係 要 做 假   搵 個 呀 毛得 啦   駛 咩 真正 患者,做 假 搵 毛得 啦 駛 真正 患者
7084,"都唔係既 醫護一定唔會除啦
間ward 唔係淨係得條女嫁嘛
隔黎床分分鐘插晒喉死下死下 無影埋姐",1,"都 唔係 既   醫護 一定 唔會 除 啦 
 間 ward   唔係 淨係 得條 女 嫁 嘛 
 隔黎床 分分鐘 插 晒 喉 死 下 死 下   無影 埋姐",醫護 唔會 除 啦 間 ward 淨係 得條 女 嫁 嘛 隔黎床 分分鐘 插 晒 喉 死 下 死 下 無影 埋姐
7085,好返喇，除罩影相啦,1,好返 喇 ， 除罩 影相 啦,好返 喇 除罩 影相 啦
7086,"退左燒就當無事
笑到最後",1,"退 左燒 就當 無事 
 笑 到 最後",退 左燒 就當 無事 笑 最後
7087,咁佢地仲要去其他地方嘅,1,咁 佢 地 仲 要 去 其他 地方 嘅,地 仲 地方
7088,叫啲醫護除左保護衣再講,1,叫 啲 醫護 除 左 保護 衣再講,叫 醫護 除 左 保護 衣再講
7089,臨時演員都係演員,1,臨時演員 都 係 演員,臨時演員 演員
7090,變種變種,1,變種 變種,變種 變種
7091,佢成段野又真係冇話醫好，淨係話出得院,1,佢 成 段 野 又 真係 冇 話 醫好 ， 淨係 話 出得 院,成 段 醫好 淨係 出得 院
7092,睇佢個樣就知醫返都晒藥費,1,睇 佢 個 樣 就 知 醫 返 都 晒 藥費,樣 醫 晒 藥費
7093,快d叫d仆街死返武漢醫,1,快 d 叫 d 仆街 死 返 武漢 醫,快 d 叫 d 仆街 死 武漢 醫
7094,死左咪有得出院lol,1,死 左 咪 有得 出院 lol,死 左 有得 出院 lol
7095,可能係遺照...,1,可能 係 遺照 ...,遺照 ...
7096,白事當紅事,1,白事 當紅 事,白事 當紅 事
7097,已經有藥,1,已經 有藥,有藥
7098,好返隔嚟果堆就除生化衣啦,1,好返 隔 嚟 果堆 就 除 生化 衣 啦,好返 隔 嚟 果堆 除 生化 衣 啦
7099,潛伏咗啫傻,1,潛伏 咗 啫 傻,潛伏 啫 傻
7100,好返咁又唔除低gear？,1,好返 咁 又 唔 除 低 gear ？,好返 除 低 gear
7101,又贏,1,又贏,又贏
7102,屌你老味，醫好左一着撚晒衫影相把撚咩 除撚咗佢啦柒頭,1,屌 你老 味 ， 醫好 左 一着 撚 晒 衫 影相 把 撚 咩   除 撚 咗 佢 啦 柒 頭,屌 你老 味 醫好 左 一着 撚 晒 衫 影相 把 撚 除 撚 啦 柒 頭
7103,送去火化,1,送去 火化,送去 火化
7104,"屌
以為衲dee出post",1,"屌 
 以為 衲 dee 出 post",屌 以為 衲 dee 出 post
7105,出院直落地獄,1,出院 直落 地獄,出院 直落 地獄
7106,康復人數+100,1,康復 人數 + 100,康復 人數 100
7107,共慘黨好野~ 雜主席好野~,1,共 慘黨 好野 ~   雜 主席 好野 ~,共 慘黨 好野 雜 主席 好野
7108,"一望到都咁諗
又話醫好 又成副gear想人點信你",1,"一 望到 都 咁 諗 
 又 話 醫好   又 成 副 gear 想人點 信 你",一 望到 醫好 成 副 gear 想人點 信
7109,醫護點會咁得閒影合照,1,醫護 點會 咁 得閒 影 合照,醫護 點會 得閒 影 合照
7110,"同意
堅嘅話，駛鬼封撚咗做湖北",1,"同意 
 堅 嘅話 ， 駛鬼封 撚 咗 做 湖北",同意 堅 嘅話 駛鬼封 撚 做 湖北
7111,連出院都不忘維穩,1,連出 院 都 不 忘維穩,連出 院 忘維穩
7112,藍絲可以唔洗捱貴口罩 yes!!!,1,藍絲 可以 唔 洗 捱 貴 口罩   yes ! ! !,藍絲 洗 捱 貴 口罩 yes
7113,大躍進2.0 ，全面報捷！,1,大躍進 2.0   ， 全面 報捷 ！,大躍進 2.0 全面 報捷
7114,"ok佢無話經治療後痊癒
所以係治療失敗出院送去火化",1,"ok 佢 無話 經 治療 後 痊癒 
 所以 係 治療 失敗 出院 送去 火化",ok 無話 經 治療 後 痊癒 治療 失敗 出院 送去 火化
7115,陣間就送去火化,1,陣間 就 送去 火化,陣間 送去 火化
7116,"點解班人唔除gear?
驚乜野？",1,"點解 班人 唔 除 gear ? 
 驚 乜野 ？",班人 除 gear 驚 乜野
7117,可能食粒退燒藥冇發燒就出得院 橫掂都打算棄城比啲假希望班蟻民維下穩仲有用,1,可能 食粒 退燒藥 冇 發燒 就 出得 院   橫掂 都 打算 棄城 比 啲 假 希望 班 蟻民 維下 穩 仲有 用,食粒 退燒藥 發燒 出得 院 橫掂 打算 棄城 比 假 希望 班 蟻民 維下 穩 仲有 用
7118,著到咁話佢冇野....,1,著到 咁 話 佢 冇 野 ....,著到 ....
7119,出左院會唔會發生意外架,1,出 左 院會 唔會 發生意外 架,出 左 院會 唔會 發生意外 架
7120,啲臨記可唔可以專業啲？,1,啲 臨記 可 唔 可以 專業 啲 ？,臨記 可 專業
7121,冇話康復出院,1,冇 話 康復 出院,康復 出院
7122,口講好返，但啲醫護仲全款武裝，點信,1,口講 好 返 ， 但 啲 醫護 仲 全款 武裝 ， 點信,口講 但 醫護 仲 全款 武裝 點信
7123,好野 唔洗著保護衣物啦,1,好野   唔 洗著 保護 衣物 啦,好野 洗著 保護 衣物 啦
7124,唔夠錢比，強制出院,1,唔 夠錢 比 ， 強制 出院,夠錢 比 強制 出院
7125,"唔係話愛滋藥有效咩
總有d會好番既 又唔係100%死亡率
但係傳播速度快過好番既時間呢",1,"唔係 話 愛滋 藥 有效 咩 
 總有 d 會 好 番 既   又 唔係 100% 死亡率 
 但係 傳播速度 快過 好 番 既 時間 呢",愛滋 藥 有效 總有 d 番 100% 死亡率 傳播速度 快過 番 時間
7126,回光返照,1,回光返照,回光返照
7127,你唔係信呀？,1,你 唔係 信 呀 ？,信
7128,"Black magic
出院入院出院入院出院入院
咁佢係出院定入院",1,"Black   magic 
 出院 入院 出院 入院 出院 入院 
 咁 佢 係 出院 定 入院",Black magic 出院 入院 出院 入院 出院 入院 出院 定 入院
7129,相信党,1,相信 党,相信 党
7130,影完相之後拎去火化,1,影完 相 之後 拎去 火化,影完 相 拎去 火化
7131,幅圖好無說服力囉,1,幅圖 好 無說服力 囉,幅圖 無說服力 囉
7132,點解要戴口罩呀，做個真中國人係唔需要戴口罩,1,點解 要 戴 口罩 呀 ， 做個 真 中國 人 係 唔 需要 戴 口罩,戴 口罩 做個 真 中國 人 需要 戴 口罩
7133,轉頭返入去,1,轉頭 返 入去,轉頭 入去
7134,沒事兒了沒事兒了大家都散了吧,1,沒事兒 了 沒事兒 了 大家 都 散 了 吧,沒事兒 了 沒事兒 了 大家 散 了 吧
7135,咁都可能係費事醫護奶咗嘢傳翻俾佢嘅,1,咁 都 可能 係 費事 醫護 奶 咗 嘢 傳翻 俾 佢 嘅,費事 醫護 奶 傳翻 俾
7136,條屍出左去,1,條屍 出 左去,條屍 出 左去
7137,好心咁大件事就咪打飛機,1,好心 咁 大件 事 就 咪 打 飛機,好心 大件 事 打 飛機
7138,影完就安樂死,1,影完 就 安樂死,影完 安樂死
7139,回家隔離,1,回家 隔離,回家 隔離
7140,出得院但班人都要全副gear?,1,出得 院 但 班 人 都 要 全副 gear ?,出得 院 但 班 人 全副 gear
7141,恭喜晒,1,恭喜 晒,恭喜 晒
7142,合埋眼架喎 係咪瓜咗,1,合埋 眼架 喎   係咪 瓜 咗,合埋 眼架 係咪 瓜
7143,可唔可以出院就送去軍器廠街警總支持下香港警察,1,可 唔 可以 出院 就 送去 軍器 廠街 警總 支持 下 香港 警察,可 出院 送去 軍器 廠街 警總 支持 下 香港 警察
7144,笑左，好返醫護唔使董太裝啦,1,笑 左 ， 好返 醫護 唔使 董太裝 啦,笑 左 好返 醫護 董太裝 啦
7145,有無留言睇,1,有無 留言 睇,留言
7146,人民日報用Facebook,1,人民日報 用 Face book,人民日報 用 Face book
7147,超級帶菌者,1,超級 帶菌者,超級 帶菌者
7148,係出院都去門口影啦，轉頭就訓番低啦,1,係 出院 都 去 門口 影啦 ， 轉頭 就 訓番 低 啦,出院 門口 影啦 轉頭 訓番 低 啦
7149,院出下嗎,1,院 出下 嗎,院 出下 嗎
7150,出院等候槍斃,1,出院 等候 槍斃,出院 等候 槍斃
7151,屌,1,屌,屌
7152,出去再傳俾其他人,1,出去 再傳 俾 其他人,出去 再傳 俾 其他人
7153,出院無話等於康復，你霸住張床太耐,1,出院 無話 等於 康復 ， 你 霸住 張床 太耐,出院 無話 等於 康復 霸住 張床 太耐
7154,"好番唔係無可能
但係唔洗觀察耐D咩",1,"好番 唔係 無可 能 
 但係 唔 洗 觀察 耐 D 咩",好番 無可 能 洗 觀察 耐 D
7155,出院即係無病毒傳染危機啦，但點解身邊D醫護人員著曬防護衣？,1,出院 即係 無病 毒 傳染 危機 啦 ， 但 點解 身邊 D 醫護人員 著曬 防護衣 ？,出院 無病 毒 傳染 危機 啦 但 身邊 D 醫護人員 著曬 防護衣
7156,"個女人無開眼
係咪同條屍影相",1,"個 女人 無 開眼 
 係咪 同條屍 影相",女人 開眼 係咪 同條屍 影相
7157,死1000救返一個,1,死 1000 救返 一個,死 1000 救返 一個
7158,"影完即刻要去第度醫啦，邊得閒除gear
醫護就算係支國人我都會尊重",1,"影完 即刻 要 去 第度 醫啦 ， 邊 得閒 除 gear 
 醫護 就算 係 支 國人 我 都 會 尊重",影完 即刻 第度 醫啦 邊 得閒 除 gear 醫護 就算 支 國人 尊重
7159,點證明,1,點 證明,證明
7160,可出院，冇話醫好左，只係冇位趕佢出去姐,1,可 出院 ， 冇 話 醫好 左 ， 只係 冇 位 趕 佢 出去 姐,可 出院 醫好 左 只係 位 趕 出去 姐
7161,出院到咁無精打采，可能係聽到要去火化,1,出院 到 咁 無精打采 ， 可能 係 聽到 要 去 火化,出院 無精打采 聽到 火化
7162,轉個頭燒左佢 以後都搵唔返,1,轉 個頭 燒 左 佢   以後 都 搵 唔 返,轉 個頭 燒 左 以後 搵
7163,佢個樣話俾我知，可以打橫出院,1,佢 個 樣 話 俾 我 知 ， 可以 打橫 出院,樣 俾 打橫 出院
7164,"呢個國家d人無得救
實事又唔做 將d精力放晒係取巧 走精面",1,"呢個 國家 d 人 無 得救 
 實事 又 唔 做   將 d 精力 放晒 係 取巧   走 精面",國家 d 人 得救 實事 做 將 d 精力 放晒 取巧 走 精面
7165,喪事當喜事辦 算唔算係支那特色,1,喪事 當 喜事 辦   算 唔 算 係 支那 特色,喪事 當 喜事 辦 算 算 支那 特色
7166,又贏,1,又贏,又贏
7167,中國特有嘅文字遊戲,1,中國 特有 嘅 文字遊戲,中國 特有 文字遊戲
7168,可以出院但著到火化咁,1,可以 出院 但 著 到 火化 咁,出院 但 著 火化
7169,"張相入面所有人都唔係武漢人,武漢醫院醫護",1,"張相 入面 所有人 都 唔係 武漢 人 , 武漢 醫院 醫護",張相 入面 所有人 武漢 人 武漢 醫院 醫護
7170,無錢埋單咪出院,1,無錢 埋單 咪 出院,無錢 埋單 出院
7171,"要求香港真雙普選作為第二階段中美貿易協議一部份
而家美帝要求強国簽左第二階段先撤關稅
所以強国一定要被迫情況下同美帝簽協議
香港要搭順風車",1,"要求 香港 真雙 普選 作為 第二階段 中美 貿易 協議 一部 份 
 而家 美帝 要求 強国簽 左 第二階段 先 撤 關稅 
 所以 強国 一定 要 被迫 情況 下同 美帝簽 協議 
 香港 要 搭 順風 車",要求 香港 真雙 普選 作為 第二階段 中美 貿易 協議 一部 份 美帝 要求 強国簽 左 第二階段 先 撤 關稅 強国 被迫 情況 下同 美帝簽 協議 香港 搭 順風 車
7172,"咁耐先得一個
Mola mola",1,"咁 耐先 得 一個 
 Mola   mola",耐先 一個 Mola mola
7173,重唔快啲感謝黨,1,重 唔 快 啲 感謝 黨,重 快 感謝 黨
7174,咁耐都係得一個,1,咁 耐 都 係 得 一個,耐 一個
7175,相信黨,1,相信 黨,相信 黨
7176,好似楝撚起條死屍影相咁,1,好似 楝 撚 起條 死屍 影相 咁,好似 楝 撚 起條 死屍 影相
7177,支那除咗騙子，乜都係假既，咁即係。。。。。,1,支那 除咗 騙子 ， 乜 都 係 假 既 ， 咁 即係 。 。 。 。 。,支那 除咗 騙子 假
7178,打橫咁出唔係出呀！,1,打橫 咁 出 唔係 出 呀 ！,打橫 出 出
7179,咁又唔關事 點都要既醫院環境,1,咁 又 唔關事   點都 要 既 醫院 環境,唔關事 點都 醫院 環境
7180,即時火化嗰d呢？有冇合照,1,即時 火化 嗰 d 呢 ？ 有冇 合照,即時 火化 d 合照
7181,乜唔係見完甴腫就好返咩 又有得造神嘅第二個獨生子,1,乜 唔係 見 完 甴 腫 就 好 返 咩   又 有得 造 神 嘅 第二個 獨生子,見 完 甴 腫 有得 造 神 第二個 獨生子
7182,出得醫仲唔解甲影相？,1,出得 醫仲 唔 解甲 影相 ？,出得 醫仲 解甲 影相
7183,美中和好未,1,美中 和 好 未,美中
7184,可以出院唔代表痊愈喎,1,可以 出院 唔 代表 痊愈 喎,出院 代表 痊愈
7185,做少啲戲 認真去搞仲好啦吊你中共,1,做少 啲 戲   認真 去 搞仲好 啦 吊 你 中共,做少 戲 認真 搞仲好 啦 吊 中共
7186,咁撚樣都要維穩,1,咁 撚 樣 都 要 維穩,撚 樣 維穩
7187,死25個先黎有1個係出院,1,死 25 個 先黎有 1 個 係 出院,死 25 先黎有 1 出院
7188,未斷氣前影相先,1,未 斷氣 前 影相 先,斷氣 前 影相 先
7189,好番咁點解仲要着晒成套保護裝,1,好番 咁 點解 仲要 着 晒 成套 保護 裝,好番 仲要 着 晒 成套 保護 裝
7190,出院送去火葬,1,出院 送去 火葬,出院 送去 火葬
7191,留意返支那嘅出院唔等於好返,1,留意 返 支那 嘅 出院 唔 等於 好返,留意 支那 出院 等於 好返
7192,"加爆個類固醇質量
食到個人温温笨笨
係冇晒病，不過得返幾個月命",1,"加爆個 類固醇 質量 
 食到 個人 温温 笨笨 
 係 冇 晒 病 ， 不過 得 返 幾個 月命",加爆個 類固醇 質量 食到 個人 温温 笨笨 晒 病 幾個 月命
7193,返屋企等,1,返 屋企 等,屋企 等
7194,"好消息
聽講好多人可以出院
不過大部份都係打橫出",1,"好消息 
 聽講 好多 人 可以 出院 
 不過 大部份 都 係 打橫 出",好消息 聽講 好多 人 出院 大部份 打橫 出
7195,"泰國都有兩單係康復
但係係康復唔係治癒",1,"泰國 都 有 兩單 係 康復 
 但係 係 康復 唔係 治癒",泰國 兩單 康復 康復 治癒
7196,有幾多件直接火化左?,1,有 幾多 件 直接 火化 左 ?,件 直接 火化 左
7197,可出院，但著到生化危機咁？,1,可 出院 ， 但 著 到 生化危機 咁 ？,可 出院 但 著 生化危機
7198,信人民日報定係信武漢人拍既當地情況？,1,信 人民日報 定係 信 武漢 人 拍 既 當地 情況 ？,信 人民日報 定係 信 武漢 人 拍 當地 情況
7199,你知道得太多了,1,你 知道 得 太多 了,知道 太多 了
7200,"我覺得醫護full gear唔係問題
係一個好翻既人竟然空裝 係full gear既人執邊？？？？？？",1,"我 覺得 醫護 full   gear 唔係 問題 
 係 一個 好 翻 既 人 竟然 空裝   係 full   gear 既人 執邊 ？ ？ ？ ？ ？ ？",醫護 full gear 問題 一個 翻 人 竟然 空裝 full gear 既人 執邊
7201,死唔去 會唔會返屋企慶祝飲到假酒 之後,1,死 唔 去   會 唔會 返 屋企 慶祝 飲到 假酒   之後,死 唔會 屋企 慶祝 飲到 假酒
7202,出院落唻香港,1,出 院落 唻 香港,出 院落 唻 香港
7203,送去刑場？！,1,送去 刑場 ？ ！,送去 刑場
7204,"可能出院辦理身後事掛
讓返張床出嚟比d有得救嘅人",1,"可能 出院 辦理 身後事 掛 
 讓 返 張床 出 嚟 比 d 有 得救 嘅 人",出院 辦理 身後事 掛 讓 張床 出 嚟 比 d 得救 人
7205,好撚快又發病入撚返去，之後...冇之後,1,好 撚 快 又 發病 入 撚 返去 ， 之後 ... 冇 之後,撚 快 發病 入 撚 返去 ...
7206,出院又可以繼續播毒啦,1,出院 又 可以 繼續 播毒 啦,出院 繼續 播毒 啦
7207,好返要著保護衣？,1,好 返要 著 保護 衣 ？,返要 著 保護 衣
7208,開始要死人了,1,開始 要死 人 了,開始 要死 人 了
7209,咁快出院？萬人坑起好啦咩？,1,咁 快 出院 ？ 萬人 坑 起 好 啦 咩 ？,快 出院 萬人 坑 起 啦
7210,"睇果3個醫護人員既裝備都睇得出
佢真係醫番好",1,"睇 果 3 個 醫護人員 既 裝備 都 睇 得出 
 佢 真係 醫番 好",果 3 醫護人員 裝備 得出 醫番
7211,正 白事當紅事搞啦,1,正   白事 當紅 事 搞 啦,正 白事 當紅 事 搞 啦
7212,起緊，好快起好,1,起緊 ， 好 快 起 好,起緊 快 起
7213,從來無話佢康復,1,從來 無話 佢 康復,從來 無話 康復
7214,"查實做咩野
中國呀中國, 你今晚幾時柯屎呀, 話比全世界知啦",1,"查實 做 咩 野 
 中國 呀 中國 ,   你 今晚 幾時 柯屎 呀 ,   話 比 全世界 知 啦",查實 做 中國 中國 今晚 幾時 柯屎 比 全世界 啦
7215,遺照黎,1,遺照 黎,遺照 黎
7216,佢個樣似就唔得,1,佢 個 樣 似 就 唔 得,樣 似
7217,憑咩確定佢醫好左,1,憑 咩 確定 佢 醫好 左,憑 確定 醫好 左
7218,餓暈嘅當肺炎醫,1,餓 暈 嘅 當 肺炎 醫,餓 暈 當 肺炎 醫
7219,盲腸！！,1,盲腸 ！ ！,盲腸
7220,大陸好多老人家 臨死都要返村死 車返去村間祖屋到 呢個應該一樣,1,大陸 好多 老人家   臨死 都 要 返村 死   車 返去 村間 祖屋 到   呢個 應該 一樣,大陸 好多 老人家 臨死 返村 死 車 返去 村間 祖屋 一樣
7221,突破盲點,1,突破 盲點,突破 盲點
7222,"1套衫掂複數病人
咁唔怪得大爆發",1,"1 套衫 掂 複數 病人 
 咁 唔怪得 大 爆發",1 套衫 掂 複數 病人 唔怪得 大 爆發
